hsa-lncRNA13645-7	AC108025.2
hsa-lncRNA4193-2	RNASEH1-AS1
hsa-lncRNA18154-1	LINC01030
hsa-lncRNA6475-5	RP13-612N21.1
hsa-lncRNA8050-1	AC005550.4
hsa-lncRNA6411	AC107072.2
hsa-lncRNA6024-2	RP11-217E22.5
hsa-lncRNA4966-2	AC093843.1
hsa-lncRNA1575	CTD-2530H12.2
hsa-lncRNA9129	RP11-561O23.7
hsa-lncRNA16568-1	CTC-472C24.1
hsa-lncRNA16200-2	LINC01019
hsa-lncRNA14505-8	LINC00654
hsa-lncRNA17063-3	RP11-459O1.2
hsa-lncRNA10051-8	AL157902.3
hsa-lncRNA7429	RP4-529N6.1
hsa-lncRNA52-2	RP5-1113E3.3
hsa-lncRNA17393-3	AC093627.9
hsa-lncRNA6828-2	CTD-2296D1.1
hsa-lncRNA13874-2	AC016747.3
hsa-lncRNA4552-2	AC108051.2
hsa-lncRNA13878-7	AC092155.4
hsa-lncRNA3415-2	LINC01082
hsa-lncRNA10485-2	RP11-336A10.5
hsa-lncRNA15600-1	AC090505.4
hsa-lncRNA6797-1	RP11-121L11.3
hsa-lncRNA1059-1	RP11-179B15.5
hsa-lncRNA16887-1	RP11-686D16.1
hsa-lncRNA10512-2	LINC00710
hsa-lncRNA6751-10	LINC01060
hsa-lncRNA13674	AC010969.1
hsa-lncRNA11699-6	LINC00944
hsa-lncRNA7017-4	CTD-2275D24.2
hsa-lncRNA11515	RP11-38F22.1
hsa-lncRNA11110	AP001271.3
hsa-lncRNA7969-2	RP11-503C24.1
hsa-lncRNA5252	RP4-813D12.2
hsa-lncRNA4884	AC010746.3
hsa-lncRNA17335-2	RP11-347L18.1
hsa-lncRNA9067-2	RP11-33G16.1
hsa-lncRNA8572-2	RP11-806O11.1
hsa-lncRNA6654-2	RP11-483A20.3
hsa-lncRNA1624-2	RP11-680H20.2
hsa-lncRNA13504	CTD-2579N5.3
hsa-lncRNA7533-2	U91328.19
hsa-lncRNA7973-1	RP1-125N5.2
hsa-lncRNA18479-2	BX255923.3
hsa-lncRNA13436-3	RP11-111H3.3
hsa-lncRNA1518-1	RP11-286N22.10
hsa-lncRNA18740-2	RP11-83N9.5
hsa-lncRNA10616	RP11-463P17.1
hsa-lncRNA16446-2	CTC-347C20.1
hsa-lncRNA5903-3	LINC00901
hsa-lncRNA2842-3	MEG3
hsa-lncRNA8072-7	AC002480.3
hsa-lncRNA5232-6	RP4-715N11.2
hsa-lncRNA18696-1	RP11-395P17.3
hsa-lncRNA9074-2	RP11-575I8.1
hsa-lncRNA5610-1	AC090044.2
hsa-lncRNA1774	RP5-1096D14.3
hsa-lncRNA16814-2	RP1-40E16.9
hsa-lncRNA10334-1	RP11-100E13.1
hsa-lncRNA8576-6	RP11-1080G15.2
hsa-lncRNA3719	AC139099.4
hsa-lncRNA7334-1	CTB-33O18.3
hsa-lncRNA14510-2	RP4-764O22.2
hsa-lncRNA16221-1	CTD-2044J15.1
hsa-lncRNA6035-2	LINC00881
hsa-lncRNA4586-1	AC096669.3
hsa-lncRNA17687-3	LINC01007
hsa-lncRNA12831	RP11-510M2.1
